,subsystem
479436.15.peg.1159,tRNA-Charging
479436.15.peg.1160,Translation
479436.15.peg.1163,tRNA-Charging
479436.15.peg.1173,tRNA-Charging
479436.15.peg.1179,Metabolic:Respiration
479436.15.peg.1180,Metabolic:Respiration
479436.15.peg.1181,Metabolic:ROS detoxification
479436.15.peg.1184,Metabolic:Tetrahydrobiopterin metabolism
479436.15.peg.1187,Metabolic:Exchange/demand reaction
479436.15.peg.1188,Metabolic:Exchange/demand reaction
479436.15.peg.1193,Translation
479436.15.peg.1199,tRNA-Charging
479436.15.peg.1200,tRNA-Charging
479436.15.peg.1203,Metabolic:Pyruvate metabolism
479436.15.peg.1204,Metabolic:Vitamin B2 metabolism
479436.15.peg.1207,tRNA-Charging
479436.15.peg.1209,tRNA-Charging
479436.15.peg.1211,Transcription
479436.15.peg.1223,Metabolic:Pyruvate metabolism
479436.15.peg.1226,Metabolic:Nucleotide salvage pathway
479436.15.peg.1227,Translation
479436.15.peg.1232,Metabolic:Unassigned
479436.15.peg.1233,Metabolic:Unassigned
479436.15.peg.1236,Metabolic:Pyruvate metabolism
479436.15.peg.1237,Metabolic:Propanoate metabolism
479436.15.peg.1240,Metabolic:Propanoate metabolism
479436.15.peg.1243,Metabolic:Folate metabolism
479436.15.peg.1244,tRNA-Charging
479436.15.peg.1246,Metabolic:Terpenoid backbone biosynthesis
479436.15.peg.1251,Translation
479436.15.peg.1257,Metabolic:Nucleotide interconversion
479436.15.peg.1258,Metabolic:Pyrimidine catabolism
479436.15.peg.1259,Metabolic:Glutamate metabolism
479436.15.peg.1261,Metabolic:Arginine and proline metabolism
479436.15.peg.1262,Metabolic:Arginine and proline metabolism
479436.15.peg.1263,Metabolic:Urea cycle
479436.15.peg.1269,tRNA-Charging
479436.15.peg.1270,"Metabolic:Glycine, serine, alanine, and threonine metabolism"
479436.15.peg.1274,Metabolic:Methionine and cysteine metabolism
479436.15.peg.1280,Metabolic:Folate metabolism
479436.15.peg.1281,Metabolic:Folate metabolism
479436.15.peg.1284,Metabolic:Glyoxylate and dicarboxylate metabolism
479436.15.peg.1285,Metabolic:Glyoxylate and dicarboxylate metabolism
479436.15.peg.1294,Metabolic:Nucleotide interconversion
479436.15.peg.1298,Metabolic:Arginine and proline metabolism
479436.15.peg.1299,Metabolic:Arginine and proline metabolism
479436.15.peg.1300,Metabolic:Urea cycle
479436.15.peg.1301,Metabolic:Arginine and proline metabolism
479436.15.peg.1304,Metabolic:Miscellaneous
479436.15.peg.1305,"Metabolic:Valine, leucine, and isoleucine metabolism"
479436.15.peg.1306,"Metabolic:Valine, leucine, and isoleucine metabolism"
479436.15.peg.1319,Metabolic:Cell wall biosynthesis
479436.15.peg.1327,"Metabolic:Transport, extracellular"
479436.15.peg.1328,"Metabolic:Transport, extracellular"
479436.15.peg.1329,Metabolic:Pentose phosphate pathway
479436.15.peg.1343,"Metabolic:Transport, extracellular"
479436.15.peg.1346,"Metabolic:Transport, extracellular"
479436.15.peg.1352,Metabolic:Exchange/demand reaction
479436.15.peg.1355,Transcription
479436.15.peg.1362,Metabolic:Urea cycle
479436.15.peg.1366,Metabolic:Pyruvate metabolism
479436.15.peg.1375,Metabolic:Pyruvate metabolism
479436.15.peg.1377,Metabolic:Folate metabolism
479436.15.peg.1378,Metabolic:Nucleotide interconversion
479436.15.peg.1380,"Metabolic:Transport, extracellular"
479436.15.peg.1383,Metabolic:Pyruvate metabolism
479436.15.peg.1392,Metabolic:Citric acid cycle
479436.15.peg.1393,Metabolic:Citric acid cycle
479436.15.peg.1394,Metabolic:Citric acid cycle
479436.15.peg.1398,Metabolic:Glycolysis/gluconeogenesis
479436.15.peg.1399,Metabolic:Exchange/demand reaction
479436.15.peg.1411,Metabolic:Heme synthesis
479436.15.peg.1412,Metabolic:Heme synthesis
479436.15.peg.1413,Metabolic:Vitamin B12 metabolism
479436.15.peg.1414,Metabolic:Heme synthesis
479436.15.peg.1415,Metabolic:tRNA Charging
479436.15.peg.1416,Metabolic:Vitamin B12 metabolism
479436.15.peg.1418,Metabolic:Arginine and proline metabolism
479436.15.peg.1425,"Metabolic:Valine, leucine, and isoleucine metabolism"
479436.15.peg.1427,"Metabolic:Valine, leucine, and isoleucine metabolism"
479436.15.peg.1428,"Metabolic:Valine, leucine, and isoleucine metabolism"
479436.15.peg.1429,"Metabolic:Glycine, serine, alanine, and threonine metabolism"
479436.15.peg.1430,"Metabolic:Valine, leucine, and isoleucine metabolism"
479436.15.peg.1435,Metabolic:Pentose phosphate pathway
479436.15.peg.1437,tRNA-Charging
479436.15.peg.1438,tRNA-Charging
479436.15.peg.1441,tRNA-Charging
479436.15.peg.1444,Metabolic:NAD metabolism
479436.15.peg.1445,Metabolic:NAD metabolism
479436.15.peg.1446,Metabolic:Tyrosine metabolism
479436.15.peg.1447,Metabolic:Tyrosine metabolism
479436.15.peg.1449,Metabolic:Citric acid cycle
479436.15.peg.1450,Metabolic:Citric acid cycle
479436.15.peg.1451,Metabolic:Pyrimidine synthesis
479436.15.peg.1455,tRNA-Charging
479436.15.peg.1456,Metabolic:Exchange/demand reaction
479436.15.peg.1457,tRNA-Charging
479436.15.peg.1458,tRNA-Charging
479436.15.peg.1459,tRNA-Charging
479436.15.peg.1460,Translation
479436.15.peg.1461,Metabolic:Glutathione metabolism
479436.15.peg.1462,Metabolic:Nucleotide interconversion
479436.15.peg.1464,tRNA-Charging
479436.15.peg.1465,tRNA-Charging
479436.15.peg.1466,tRNA-Charging
479436.15.peg.1467,tRNA-Charging
479436.15.peg.1468,tRNA-Charging
479436.15.peg.1469,tRNA-Charging
479436.15.peg.1470,tRNA-Charging
