,subsystem
411903.6.peg.1896,tRNA-Charging
411903.6.peg.1899,Metabolic:Exchange/demand reaction
411903.6.peg.1901,tRNA-Charging
411903.6.peg.1902,tRNA-Charging
411903.6.peg.1905,Metabolic:Glycolysis/gluconeogenesis
411903.6.peg.1906,tRNA-Charging
411903.6.peg.1913,tRNA-Charging
411903.6.peg.1914,Translation
411903.6.peg.1915,Metabolic:Nucleotide interconversion
411903.6.peg.1916,Translation
411903.6.peg.1918,Metabolic:Glycerophospholipid metabolism
411903.6.peg.1919,Metabolic:Terpenoid backbone biosynthesis
411903.6.peg.1921,Metabolic:Terpenoid backbone biosynthesis
411903.6.peg.1922,tRNA-Charging
411903.6.peg.1924,Metabolic:Pyruvate metabolism
411903.6.peg.1925,tRNA-Charging
411903.6.peg.1926,Metabolic:Nucleotide salvage pathway
