,subsystem
g.26457.CDS.1265,"Metabolic:Transport, extracellular"
g.26457.CDS.1266,Metabolic:Glyoxylate and dicarboxylate metabolism
g.26457.CDS.1277,Post-translation
g.26457.CDS.1279,Metabolic:Galactose metabolism
g.26457.CDS.1281,tRNA-Charging
g.26457.CDS.1288,tRNA-Charging
g.26457.CDS.1295,Post-translation
g.26457.CDS.1300,Translation
g.26457.CDS.1301,tRNA-Charging
g.26457.CDS.1304,Metabolic:Glycerophospholipid metabolism
g.26457.CDS.1305,Metabolic:Galactose metabolism
g.26457.CDS.1308,Metabolic:Glutathione metabolism
g.26457.CDS.1312,Translation
g.26457.CDS.1314,Metabolic:Exchange/demand reaction
g.26457.CDS.1316,Metabolic:Folate metabolism
g.26457.CDS.1318,"Metabolic:Transport, extracellular"
g.26457.CDS.1321,Post-translation
347253.5.peg.1324,Metabolic:Vitamin B6 metabolism
g.26457.CDS.1327,Metabolic:Cell wall biosynthesis
g.26457.CDS.1331,tRNA-Charging
g.26457.CDS.1332,Metabolic:Pentose phosphate pathway
g.26457.CDS.1337,"Metabolic:Transport, extracellular"
g.26457.CDS.1344,Metabolic:Cell wall biosynthesis
g.26457.CDS.1345,Metabolic:Methionine and cysteine metabolism
g.26457.CDS.1347,Metabolic:Pyruvate metabolism
g.26457.CDS.1348,"Metabolic:Transport, extracellular"
g.26457.CDS.1355,Metabolic:Aminosugar metabolism
g.26457.CDS.1356,Metabolic:Glycerophospholipid metabolism
g.26457.CDS.1373,Metabolic:Exchange/demand reaction
g.26457.CDS.1381,Metabolic:Exchange/demand reaction
g.26457.CDS.1383,"Metabolic:Transport, extracellular"
g.26457.CDS.1384,Metabolic:Nucleotide interconversion
g.26457.CDS.1385,Translation
g.26457.CDS.1386,Metabolic:Butanoate metabolism
g.26457.CDS.1387,tRNA-Charging
g.26457.CDS.1388,Metabolic:Sulfur metabolism
g.26457.CDS.1392,tRNA-Charging
g.26457.CDS.1393,tRNA-Charging
g.26457.CDS.1397,"Metabolic:Valine, leucine, and isoleucine metabolism"
g.26457.CDS.1398,"Metabolic:Transport, extracellular"
g.26457.CDS.1405,tRNA-Charging
g.26457.CDS.1408,"Metabolic:Transport, extracellular"
g.26457.CDS.1413,Metabolic:Pyruvate metabolism
g.26457.CDS.1415,Metabolic:Pentose phosphate pathway
g.26457.CDS.1417,"Metabolic:Transport, extracellular"
g.26457.CDS.1428,Metabolic:Arginine and proline metabolism
g.26457.CDS.1430,"Metabolic:Transport, extracellular"
347253.5.peg.1431,Metabolic:Alanine and aspartate metabolism
g.26457.CDS.1436,Metabolic:Pyrimidine catabolism
g.26457.CDS.1439,Metabolic:Glycerophospholipid metabolism
g.26457.CDS.1442,Metabolic:Pyruvate metabolism
g.26457.CDS.1443,Metabolic:Pyrimidine catabolism
g.26457.CDS.1445,Metabolic:Galactose metabolism
g.26457.CDS.1450,Metabolic:Nucleotide interconversion
347253.5.peg.1450,"Metabolic:Glycine, serine, alanine, and threonine metabolism"
g.26457.CDS.1453,"Metabolic:Transport, extracellular"
g.26457.CDS.1456,tRNA-Charging
g.26457.CDS.1458,tRNA-Charging
347253.5.peg.1458,"Metabolic:Glycine, serine, alanine, and threonine metabolism"
347253.5.peg.1460,"Metabolic:Glycine, serine, alanine, and threonine metabolism"
g.26457.CDS.1461,Metabolic:Miscellaneous
g.26457.CDS.1465,tRNA-Charging
g.26457.CDS.1466,"Metabolic:Transport, extracellular"
g.26457.CDS.1467,"Metabolic:Transport, extracellular"
g.26457.CDS.1469,tRNA-Charging
347253.5.peg.1469,Metabolic:Folate metabolism
347253.5.peg.1470,Metabolic:Folate metabolism
347253.5.peg.1472,Metabolic:Folate metabolism
347253.5.peg.1473,Metabolic:Tetrahydrobiopterin metabolism
g.26457.CDS.1474,Metabolic:Exchange/demand reaction
347253.5.peg.1475,Metabolic:Folate metabolism
g.26457.CDS.1477,tRNA-Charging
g.26457.CDS.1478,Metabolic:Starch and sucrose metabolism
g.26457.CDS.1487,Translation
g.26457.CDS.1492,tRNA-Charging
g.26457.CDS.1494,Metabolic:CoA catabolism
g.26457.CDS.1497,Metabolic:Exchange/demand reaction
g.26457.CDS.1500,tRNA-Charging
g.26457.CDS.1507,Metabolic:Cell wall biosynthesis
g.26457.CDS.1510,Metabolic:Pyrimidine catabolism
g.26457.CDS.1514,"Metabolic:Transport, extracellular"
g.26457.CDS.1517,Metabolic:Sulfur metabolism
g.26457.CDS.1523,"Metabolic:Transport, extracellular"
347253.5.peg.1524,Metabolic:Tryptophan metabolism
g.26457.CDS.1525,Metabolic:Exchange/demand reaction
347253.5.peg.1525,Metabolic:Tryptophan metabolism
347253.5.peg.1526,Metabolic:Tryptophan metabolism
g.26457.CDS.1527,tRNA-Charging
347253.5.peg.1527,Metabolic:Tryptophan metabolism
g.26457.CDS.1528,Metabolic:Sulfur metabolism
347253.5.peg.1528,Metabolic:Tryptophan metabolism
g.26457.CDS.1529,Metabolic:Nucleotide interconversion
347253.5.peg.1529,Metabolic:Folate metabolism
g.26457.CDS.1530,Metabolic:Respiration
347253.5.peg.1530,Metabolic:Tryptophan metabolism
347253.5.peg.1531,Metabolic:Phenylalanine metabolism
