,subsystem
g.25584.CDS.1391,Metabolic:Pyruvate metabolism
g.25584.CDS.1392,Metabolic:Glycerophospholipid metabolism
g.25584.CDS.1393,Translation
1215915.3.peg.1393,"Metabolic:Glycine, serine, alanine, and threonine metabolism"
g.25584.CDS.1396,Metabolic:Glycolysis/gluconeogenesis
g.25584.CDS.1403,tRNA-Charging
1215915.3.peg.1405,Metabolic:Methionine and cysteine metabolism
g.25584.CDS.1406,Metabolic:Glutamate metabolism
g.25584.CDS.1407,"Metabolic:Transport, extracellular"
g.25584.CDS.1412,Metabolic:Inositol phosphate metabolism
g.25584.CDS.1418,Metabolic:Glycerophospholipid metabolism
1215915.3.peg.1423,Metabolic:Nucleotide interconversion
g.25584.CDS.1426,"Metabolic:Transport, extracellular"
g.25584.CDS.1428,tRNA-Charging
g.25584.CDS.1429,"Metabolic:Transport, extracellular"
1215915.3.peg.1430,Metabolic:Urea cycle
g.25584.CDS.1431,Metabolic:Glycolysis/gluconeogenesis
1215915.3.peg.1431,Metabolic:Urea cycle
1215915.3.peg.1432,Metabolic:Arginine and proline metabolism
1215915.3.peg.1433,Metabolic:Arginine and proline metabolism
g.25584.CDS.1443,Metabolic:Glycolysis/gluconeogenesis
1215915.3.peg.1443,Metabolic:Vitamin B2 metabolism
g.25584.CDS.1445,Metabolic:Starch and sucrose metabolism
g.25584.CDS.1447,Metabolic:NAD metabolism
g.25584.CDS.1451,Metabolic:Exchange/demand reaction
g.25584.CDS.1453,Metabolic:Pyruvate metabolism
1215915.3.peg.1453,Metabolic:Citric acid cycle
1215915.3.peg.1454,Metabolic:Citric acid cycle
1215915.3.peg.1455,Metabolic:Citric acid cycle
g.25584.CDS.1460,"Metabolic:Transport, extracellular"
g.25584.CDS.1465,Translation
g.25584.CDS.1467,"Metabolic:Transport, extracellular"
g.25584.CDS.1471,"Metabolic:Transport, extracellular"
