,subsystem
g.31042.CDS.1083,Metabolic:Methionine and cysteine metabolism
g.31042.CDS.1087,Metabolic:Methionine and cysteine metabolism
1194526.3.peg.1089,Metabolic:Folate metabolism
g.31042.CDS.1090,Metabolic:Respiration
g.31042.CDS.1092,Metabolic:Exchange/demand reaction
g.31042.CDS.1093,Metabolic:Phenylalanine metabolism
g.31042.CDS.1095,Metabolic:Lysine metabolism
g.31042.CDS.1098,Metabolic:Glycerophospholipid metabolism
g.31042.CDS.1106,Metabolic:Heme synthesis
g.31042.CDS.1107,Metabolic:Glutathione metabolism
g.31042.CDS.1111,Metabolic:Cell wall biosynthesis
g.31042.CDS.1116,Metabolic:Lysine metabolism
g.31042.CDS.1119,Metabolic:Folate metabolism
g.31042.CDS.1120,Translation
g.31042.CDS.1122,Metabolic:Exchange/demand reaction
g.31042.CDS.1126,"Metabolic:Transport, extracellular"
g.31042.CDS.1127,Metabolic:Terpenoid backbone biosynthesis
g.31042.CDS.1129,Metabolic:Pyrimidine catabolism
g.31042.CDS.1132,Metabolic:Respiration
g.31042.CDS.1134,Metabolic:Pentose and glucuronate interconversions
g.31042.CDS.1137,Metabolic:Folate metabolism
g.31042.CDS.1138,Translation
g.31042.CDS.1139,Metabolic:Heme synthesis
1194526.3.peg.1145,Metabolic:NAD metabolism
g.31042.CDS.1147,Metabolic:Glycerophospholipid metabolism
g.31042.CDS.1148,Translation
g.31042.CDS.1155,Translation
g.31042.CDS.1162,Metabolic:Glyoxylate and dicarboxylate metabolism
g.31042.CDS.1163,tRNA-Charging
g.31042.CDS.1171,Metabolic:Pyruvate metabolism
g.31042.CDS.1174,Translation
g.31042.CDS.1176,tRNA-Charging
g.31042.CDS.1178,Metabolic:Exchange/demand reaction
g.31042.CDS.1180,"Metabolic:Transport, extracellular"
g.31042.CDS.1183,Metabolic:Citric acid cycle
g.31042.CDS.1184,"Metabolic:Transport, extracellular"
g.31042.CDS.1188,Metabolic:Sulfur metabolism
g.31042.CDS.1189,"Metabolic:Transport, extracellular"
1194526.3.peg.1190,Metabolic:Glycolysis/gluconeogenesis
g.31042.CDS.1192,Metabolic:Exchange/demand reaction
g.31042.CDS.1198,Metabolic:Respiration
1194526.3.peg.1198,Metabolic:Phenylalanine metabolism
g.31042.CDS.1199,Metabolic:Cell wall biosynthesis
g.31042.CDS.1204,"Metabolic:Glycine, serine, alanine, and threonine metabolism"
g.31042.CDS.1206,tRNA-Charging
g.31042.CDS.1207,Metabolic:Fatty acid synthesis
g.31042.CDS.1208,Metabolic:Arginine and proline metabolism
1194526.3.peg.1208,Metabolic:Urea cycle
1194526.3.peg.1209,Metabolic:Urea cycle
g.31042.CDS.1210,Metabolic:Nucleotide interconversion
1194526.3.peg.1210,Metabolic:Arginine and proline metabolism
1194526.3.peg.1211,Metabolic:Arginine and proline metabolism
g.31042.CDS.1214,Metabolic:Nucleotide interconversion
g.31042.CDS.1221,Translation
g.31042.CDS.1223,Metabolic:Exchange/demand reaction
g.31042.CDS.1224,Metabolic:Exchange/demand reaction
g.31042.CDS.1225,"Metabolic:Transport, extracellular"
g.31042.CDS.1226,Metabolic:Terpenoid backbone biosynthesis
g.31042.CDS.1227,Metabolic:Fatty acid synthesis
1194526.3.peg.1229,Metabolic:Pentose phosphate pathway
g.31042.CDS.1231,Translation
1194526.3.peg.1232,Metabolic:Pentose phosphate pathway
g.31042.CDS.1233,Metabolic:Citric acid cycle
1194526.3.peg.1234,Metabolic:Arginine and proline metabolism
g.31042.CDS.1237,"Metabolic:Transport, extracellular"
g.31042.CDS.1241,tRNA-Charging
g.31042.CDS.1246,tRNA-Charging
g.31042.CDS.1247,"Metabolic:Transport, extracellular"
1194526.3.peg.1252,Metabolic:Alanine and aspartate metabolism
g.31042.CDS.1257,Metabolic:Heme synthesis
g.31042.CDS.1260,"Metabolic:Valine, leucine, and isoleucine metabolism"
1194526.3.peg.1261,Metabolic:Nucleotide interconversion
1194526.3.peg.1262,Metabolic:Phenylalanine metabolism
1194526.3.peg.1264,Metabolic:Phenylalanine metabolism
g.31042.CDS.1267,Metabolic:Pyruvate metabolism
g.31042.CDS.1269,Metabolic:Pyruvate metabolism
g.31042.CDS.1272,Metabolic:Lipoate metabolism
g.31042.CDS.1274,Metabolic:Heme synthesis
g.31042.CDS.1275,Metabolic:Cell wall biosynthesis
g.31042.CDS.1278,Metabolic:Methionine and cysteine metabolism
g.31042.CDS.1281,"Metabolic:Transport, extracellular"
g.31042.CDS.1284,Metabolic:Arginine and proline metabolism
g.31042.CDS.1286,Metabolic:Biotin metabolism
g.31042.CDS.1292,Translation
g.31042.CDS.1295,"Metabolic:Transport, extracellular"
1194526.3.peg.1295,Metabolic:Folate metabolism
g.31042.CDS.1297,Metabolic:Vitamin B2 metabolism
g.31042.CDS.1309,Metabolic:Cell wall biosynthesis
g.31042.CDS.1321,Metabolic:Citric acid cycle
g.31042.CDS.1325,Metabolic:Arginine and proline metabolism
g.31042.CDS.1327,Translation
g.31042.CDS.1329,Metabolic:Pyruvate metabolism
1194526.3.peg.1329,"Metabolic:Glycine, serine, alanine, and threonine metabolism"
g.31042.CDS.1330,Transcription
1194526.3.peg.1330,"Metabolic:Glycine, serine, alanine, and threonine metabolism"
g.31042.CDS.1332,Metabolic:Cell wall biosynthesis
g.31042.CDS.1334,"Metabolic:Valine, leucine, and isoleucine metabolism"
g.31042.CDS.1337,Metabolic:NAD metabolism
g.31042.CDS.1344,Translation
g.31042.CDS.1345,Translation
g.31042.CDS.1347,Translation
1194526.3.peg.1348,Metabolic:Tryptophan metabolism
1194526.3.peg.1349,Metabolic:Tryptophan metabolism
g.31042.CDS.1350,Metabolic:Citric acid cycle
1194526.3.peg.1350,Metabolic:Tryptophan metabolism
g.31042.CDS.1351,Post-translation
1194526.3.peg.1351,Metabolic:Tryptophan metabolism
1194526.3.peg.1352,Metabolic:Tryptophan metabolism
1194526.3.peg.1353,Metabolic:Tryptophan metabolism
1194526.3.peg.1354,Metabolic:Tryptophan metabolism
1194526.3.peg.1356,Metabolic:Tyrosine metabolism
g.31042.CDS.1358,Metabolic:Pyruvate metabolism
g.31042.CDS.1360,Metabolic:Fatty acid synthesis
g.31042.CDS.1361,"Metabolic:Transport, extracellular"
g.31042.CDS.1362,Metabolic:Exchange/demand reaction
g.31042.CDS.1363,Metabolic:Sulfur metabolism
g.31042.CDS.1365,tRNA-Charging
g.31042.CDS.1368,Metabolic:Vitamin B6 metabolism
1194526.3.peg.1370,Metabolic:Citric acid cycle
g.31042.CDS.1371,Metabolic:Exchange/demand reaction
